route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"SV",2,1081,"Wall St./Pier 11",6210,0,62,83
"SV",2,1082,"Wall St./Pier 11",6111,0,61,83
"SV",2,1083,"Wall St./Pier 11",6308,0,63,83
"SV",2,1084,"Wall St./Pier 11",6212,0,62,83
"SV",2,1085,"Wall St./Pier 11",6113,0,61,83
"SV",2,1086,"Wall St./Pier 11",6310,0,63,83
"SV",2,1087,"Wall St./Pier 11",6214,0,62,83
"GI",2,1088,"Governors Island",7101,0,71,76
"GI",2,1089,"Governors Island",7103,0,71,76
"GI",2,1090,"Governors Island",7105,0,71,76
"GI",2,1091,"Governors Island",7107,0,71,76
"GI",2,1092,"Governors Island",7109,0,71,76
"GI",2,1093,"Governors Island",7111,0,71,76
"GI",2,1094,"Governors Island",7113,0,71,76
"GI",2,1095,"Governors Island",7115,0,71,76
"GI",2,1096,"Governors Island",7117,0,71,76
"GI",2,1097,"Governors Island",7119,0,71,76
"GI",2,1098,"Governors Island",7121,0,71,76
"GI",2,1099,"Governors Island",7123,0,71,76
"GI",2,1100,"Governors Island",7125,0,71,76
"GI",2,1101,"Governors Island",7127,0,71,76
"GI",2,1102,"Governors Island",7129,0,71,76
"GI",2,1103,"Governors Island",7131,0,71,76
"GI",2,1104,"Governors Island",7133,0,71,76
"GI",2,1105,"Governors Island",7135,0,71,76
"GI",2,1106,"Governors Island",7137,0,71,76
"GI",2,1107,"Governors Island",7139,0,71,76
"GI",2,1108,"Wall St./Pier 11",7102,1,71,75
"GI",2,1109,"Wall St./Pier 11",7104,1,71,75
"GI",2,1110,"Wall St./Pier 11",7106,1,71,75
"GI",2,1111,"Wall St./Pier 11",7108,1,71,75
"GI",2,1112,"Wall St./Pier 11",7110,1,71,75
"GI",2,1113,"Wall St./Pier 11",7112,1,71,75
"GI",2,1114,"Wall St./Pier 11",7114,1,71,75
"GI",2,1115,"Wall St./Pier 11",7116,1,71,75
"GI",2,1116,"Wall St./Pier 11",7118,1,71,75
"GI",2,1117,"Wall St./Pier 11",7120,1,71,75
"GI",2,1118,"Wall St./Pier 11",7122,1,71,75
"RW",1,1119,"Rockaway",2206,0,22,8
"GI",2,1124,"Wall St./Pier 11",7124,1,71,75
"GI",2,1125,"Wall St./Pier 11",7126,1,71,75
"GI",2,1126,"Wall St./Pier 11",7128,1,71,75
"GI",2,1127,"Wall St./Pier 11",7130,1,71,75
"GI",2,1128,"Wall St./Pier 11",7132,1,71,75
"GI",2,1129,"Wall St./Pier 11",7134,1,71,75
"GI",2,1130,"Wall St./Pier 11",7136,1,71,75
"GI",2,1131,"Wall St./Pier 11",7138,1,71,75
"GI",2,1132,"Wall St./Pier 11",7140,1,71,75
"RES",1,1133,"Rockaway",10117,0,101,44
"RES",1,1134,"Rockaway",10119,0,101,44
"RES",1,1135,"Rockaway",10121,0,101,44
"RES",1,1136,"Rockaway",10123,0,101,44
"RES",1,1137,"Rockaway",10125,0,101,44
"RES",1,1138,"Rockaway",10127,0,101,44
"RES",1,1139,"Rockaway",10129,0,101,44
"RES",1,1140,"Rockaway",10131,0,101,44
"RES",1,1141,"Rockaway East",10118,1,101,37
"RES",1,1142,"Rockaway East",10120,1,101,37
"RES",1,1143,"Rockaway East",10122,1,101,37
"RES",1,1144,"Rockaway East",10124,1,101,37
"RES",1,1145,"Rockaway East",10126,1,101,37
"RES",1,1146,"Rockaway East",10128,1,101,37
"RES",1,1147,"Rockaway East",10130,1,101,37
"RES",1,1148,"Rockaway East",10132,1,101,37
"RES",2,1149,"Rockaway",10101,0,101,44
"ER",1,1195,"Wall St./Pier 11",1101,0,11,81
"RW",1,1200,"Wall St./Pier 11",2207,1,22,7
"RES",2,1244,"Rockaway East",10102,1,101,37
"RWS",1,1275,"Rockaway",20117,0,201,27
"RWS",1,1276,"Rockaway",20119,0,201,27
"RWS",1,1277,"Rockaway",20121,0,201,27
"RWS",1,1278,"Rockaway",20123,0,201,27
"RWS",1,1279,"Rockaway",20125,0,201,27
"RWS",1,1280,"Rockaway",20127,0,201,27
"RWS",1,1281,"Rockaway",20129,0,201,27
"RWS",1,1282,"Rockaway",20131,0,201,27
"RWS",1,1283,"Rockaway West",20118,1,201,38
"RWS",1,1284,"Rockaway West",20120,1,201,38
"RWS",1,1285,"Rockaway West",20122,1,201,38
"RWS",1,1286,"Rockaway West",20124,1,201,38
"RWS",1,1287,"Rockaway West",20126,1,201,38
"RWS",1,1288,"Rockaway West",20128,1,201,38
"RWS",1,1289,"Rockaway West",20130,1,201,38
"RWS",1,1290,"Rockaway West",20132,1,201,38
"RWS",2,1291,"Rockaway",20101,0,201,4
"RES",1,1319,"Rockaway East",10116,1,101,37
"RWS",2,1323,"Rockaway West",20102,1,201,70
"SG",2,1354,"St. George",8201,0,82,71
"SG",2,1355,"St. George",8102,0,81,71
"SG",2,1356,"St. George",8203,0,82,71
"SG",2,1357,"St. George",8104,0,81,71
"SG",2,1366,"St. George",8205,0,82,71
"SG",2,1367,"St. George",8301,0,83,71
"SG",2,1368,"St. George",8106,0,81,71
"SG",2,1369,"St. George",8207,0,82,71
"SG",2,1370,"St. George",8303,0,83,71
"SG",2,1371,"St. George",8108,0,81,71
"SG",2,1372,"St. George",8209,0,82,71
"SG",2,1373,"St. George",8305,0,83,71
"SG",2,1374,"St. George",8110,0,81,71
"SG",2,1375,"St. George",8211,0,82,71
"SG",2,1376,"St. George",8307,0,83,71
"SG",2,1377,"St. George",8112,0,81,71
"SG",2,1378,"St. George",8213,0,82,71
"SG",2,1379,"St. George",8309,0,83,71
